Incident Type,Institution,date,Incidents,Prison.Type
Mental Health - Crisis Watch Observations,Joliet,2021-05-01,51,Minimum Security
Mental Health - Crisis Watch Observations,Joliet,2021-06-01,55,Minimum Security
Mental Health - Crisis Watch Observations,Lincoln,2020-07-01,4,Minimum Security
Mental Health - Crisis Watch Observations,Lincoln,2020-08-01,1,Minimum Security
Mental Health - Crisis Watch Observations,Lincoln,2020-09-01,4,Minimum Security
Mental Health - Crisis Watch Observations,Lincoln,2020-10-01,0,Minimum Security
Mental Health - Crisis Watch Observations,Lincoln,2020-11-01,1,Minimum Security
Mental Health - Crisis Watch Observations,Lincoln,2020-12-01,2,Minimum Security
Mental Health - Crisis Watch Observations,Lincoln,2021-01-01,3,Minimum Security
Mental Health - Crisis Watch Observations,Lincoln,2021-02-01,3,Minimum Security
Mental Health - Crisis Watch Observations,Lincoln,2021-03-01,3,Minimum Security
Mental Health - Crisis Watch Observations,Lincoln,2021-04-01,2,Minimum Security
Mental Health - Crisis Watch Observations,Lincoln,2021-05-01,6,Minimum Security
Mental Health - Crisis Watch Observations,Lincoln,2021-06-01,2,Minimum Security
Mental Health - Crisis Watch Observations,Robinson,2020-07-01,1,Minimum Security
Mental Health - Crisis Watch Observations,Robinson,2020-08-01,3,Minimum Security
Mental Health - Crisis Watch Observations,Robinson,2020-09-01,4,Minimum Security
Mental Health - Crisis Watch Observations,Robinson,2020-10-01,2,Minimum Security
Mental Health - Crisis Watch Observations,Robinson,2020-11-01,2,Minimum Security
Mental Health - Crisis Watch Observations,Robinson,2020-12-01,3,Minimum Security
Mental Health - Crisis Watch Observations,Robinson,2021-01-01,1,Minimum Security
Mental Health - Crisis Watch Observations,Robinson,2021-02-01,3,Minimum Security
Mental Health - Crisis Watch Observations,Robinson,2021-03-01,1,Minimum Security
Mental Health - Crisis Watch Observations,Robinson,2021-04-01,4,Minimum Security
Mental Health - Crisis Watch Observations,Robinson,2021-05-01,1,Minimum Security
Mental Health - Crisis Watch Observations,Robinson,2021-06-01,0,Minimum Security
Mental Health - Crisis Watch Observations,Southwestern Illinois,2020-07-01,1,Minimum Security
Mental Health - Crisis Watch Observations,Southwestern Illinois,2020-08-01,1,Minimum Security
Mental Health - Crisis Watch Observations,Southwestern Illinois,2020-09-01,2,Minimum Security
Mental Health - Crisis Watch Observations,Southwestern Illinois,2020-10-01,0,Minimum Security
Mental Health - Crisis Watch Observations,Southwestern Illinois,2020-11-01,0,Minimum Security
Mental Health - Crisis Watch Observations,Southwestern Illinois,2020-12-01,0,Minimum Security
Mental Health - Crisis Watch Observations,Southwestern Illinois,2021-01-01,0,Minimum Security
Mental Health - Crisis Watch Observations,Southwestern Illinois,2021-02-01,0,Minimum Security
Mental Health - Crisis Watch Observations,Southwestern Illinois,2021-03-01,1,Minimum Security
Mental Health - Crisis Watch Observations,Southwestern Illinois,2021-04-01,0,Minimum Security
Mental Health - Crisis Watch Observations,Southwestern Illinois,2021-05-01,2,Minimum Security
Mental Health - Crisis Watch Observations,Southwestern Illinois,2021-06-01,0,Minimum Security
Mental Health - Crisis Watch Observations,Taylorville,2020-07-01,1,Minimum Security
Mental Health - Crisis Watch Observations,Taylorville,2020-08-01,5,Minimum Security
Mental Health - Crisis Watch Observations,Taylorville,2020-09-01,4,Minimum Security
Mental Health - Crisis Watch Observations,Taylorville,2020-10-01,1,Minimum Security
Mental Health - Crisis Watch Observations,Taylorville,2020-11-01,1,Minimum Security
Mental Health - Crisis Watch Observations,Taylorville,2020-12-01,4,Minimum Security
Mental Health - Crisis Watch Observations,Taylorville,2021-01-01,2,Minimum Security
Mental Health - Crisis Watch Observations,Taylorville,2021-02-01,2,Minimum Security
Mental Health - Crisis Watch Observations,Taylorville,2021-03-01,2,Minimum Security
Mental Health - Crisis Watch Observations,Taylorville,2021-04-01,2,Minimum Security
Mental Health - Crisis Watch Observations,Taylorville,2021-05-01,2,Minimum Security
Mental Health - Crisis Watch Observations,Taylorville,2021-06-01,2,Minimum Security
Mental Health - Crisis Watch Observations,Vandalia,2020-07-01,2,Minimum Security
Mental Health - Crisis Watch Observations,Vandalia,2020-08-01,0,Minimum Security
Mental Health - Crisis Watch Observations,Vandalia,2020-09-01,1,Minimum Security
Mental Health - Crisis Watch Observations,Vandalia,2020-10-01,3,Minimum Security
Mental Health - Crisis Watch Observations,Vandalia,2020-11-01,6,Minimum Security
Mental Health - Crisis Watch Observations,Vandalia,2020-12-01,6,Minimum Security
Mental Health - Crisis Watch Observations,Vandalia,2021-01-01,4,Minimum Security
Mental Health - Crisis Watch Observations,Vandalia,2021-02-01,2,Minimum Security
Mental Health - Crisis Watch Observations,Vandalia,2021-03-01,1,Minimum Security
Mental Health - Crisis Watch Observations,Vandalia,2021-04-01,1,Minimum Security
Mental Health - Crisis Watch Observations,Vandalia,2021-05-01,3,Minimum Security
Mental Health - Crisis Watch Observations,Vandalia,2021-06-01,1,Minimum Security
Mental Health - Crisis Watch Observations,Vienna,2020-07-01,1,Minimum Security
Mental Health - Crisis Watch Observations,Vienna,2020-08-01,1,Minimum Security
Mental Health - Crisis Watch Observations,Vienna,2020-09-01,0,Minimum Security
Mental Health - Crisis Watch Observations,Vienna,2020-10-01,3,Minimum Security
Mental Health - Crisis Watch Observations,Vienna,2020-11-01,5,Minimum Security
Mental Health - Crisis Watch Observations,Vienna,2020-12-01,6,Minimum Security
Mental Health - Crisis Watch Observations,Vienna,2021-01-01,1,Minimum Security
Mental Health - Crisis Watch Observations,Vienna,2021-02-01,1,Minimum Security
Mental Health - Crisis Watch Observations,Vienna,2021-03-01,2,Minimum Security
Mental Health - Crisis Watch Observations,Vienna,2021-04-01,0,Minimum Security
Mental Health - Crisis Watch Observations,Vienna,2021-05-01,0,Minimum Security
Mental Health - Crisis Watch Observations,Vienna,2021-06-01,0,Minimum Security
Mental Health - Number of Offenders on Continuous Watch Status,Logan (Female),2020-07-01,4,Maximum Security
Mental Health - Number of Offenders on Continuous Watch Status,Logan (Female),2020-08-01,5,Maximum Security
Mental Health - Number of Offenders on Continuous Watch Status,Logan (Female),2020-09-01,10,Maximum Security
Mental Health - Number of Offenders on Continuous Watch Status,Logan (Female),2020-10-01,8,Maximum Security
Mental Health - Number of Offenders on Continuous Watch Status,Logan (Female),2020-11-01,7,Maximum Security
Mental Health - Number of Offenders on Continuous Watch Status,Logan (Female),2020-12-01,6,Maximum Security
Mental Health - Number of Offenders on Continuous Watch Status,Logan (Female),2021-01-01,11,Maximum Security
Mental Health - Number of Offenders on Continuous Watch Status,Logan (Female),2021-02-01,4,Maximum Security
Mental Health - Number of Offenders on Continuous Watch Status,Logan (Female),2021-03-01,5,Maximum Security
Mental Health - Number of Offenders on Continuous Watch Status,Logan (Female),2021-04-01,9,Maximum Security
Mental Health - Number of Offenders on Continuous Watch Status,Logan (Female),2021-05-01,7,Maximum Security
Mental Health - Number of Offenders on Continuous Watch Status,Logan (Female),2021-06-01,2,Maximum Security
Mental Health - Number of Offenders on Continuous Watch Status,Menard,2020-07-01,3,Maximum Security
Mental Health - Number of Offenders on Continuous Watch Status,Menard,2020-08-01,4,Maximum Security
Mental Health - Number of Offenders on Continuous Watch Status,Menard,2020-09-01,2,Maximum Security
Mental Health - Number of Offenders on Continuous Watch Status,Menard,2020-10-01,2,Maximum Security
Mental Health - Number of Offenders on Continuous Watch Status,Menard,2020-11-01,5,Maximum Security
Mental Health - Number of Offenders on Continuous Watch Status,Menard,2020-12-01,3,Maximum Security
Mental Health - Number of Offenders on Continuous Watch Status,Menard,2021-01-01,5,Maximum Security
Mental Health - Number of Offenders on Continuous Watch Status,Menard,2021-02-01,2,Maximum Security
Mental Health - Number of Offenders on Continuous Watch Status,Menard,2021-03-01,6,Maximum Security
Mental Health - Number of Offenders on Continuous Watch Status,Menard,2021-04-01,5,Maximum Security
Mental Health - Number of Offenders on Continuous Watch Status,Menard,2021-05-01,2,Maximum Security
Mental Health - Number of Offenders on Continuous Watch Status,Menard,2021-06-01,5,Maximum Security
Mental Health - Number of Offenders on Continuous Watch Status,Pontiac,2020-07-01,2,Maximum Security
Mental Health - Number of Offenders on Continuous Watch Status,Pontiac,2020-08-01,1,Maximum Security
Mental Health - Number of Offenders on Continuous Watch Status,Pontiac,2020-09-01,2,Maximum Security
Mental Health - Number of Offenders on Continuous Watch Status,Pontiac,2020-10-01,0,Maximum Security
Mental Health - Number of Offenders on Continuous Watch Status,Pontiac,2020-11-01,1,Maximum Security
Mental Health - Number of Offenders on Continuous Watch Status,Pontiac,2020-12-01,0,Maximum Security
Mental Health - Number of Offenders on Continuous Watch Status,Pontiac,2021-01-01,0,Maximum Security
Mental Health - Number of Offenders on Continuous Watch Status,Pontiac,2021-02-01,3,Maximum Security
Mental Health - Number of Offenders on Continuous Watch Status,Pontiac,2021-03-01,2,Maximum Security
Mental Health - Number of Offenders on Continuous Watch Status,Pontiac,2021-04-01,0,Maximum Security
Mental Health - Number of Offenders on Continuous Watch Status,Pontiac,2021-05-01,0,Maximum Security
Mental Health - Number of Offenders on Continuous Watch Status,Pontiac,2021-06-01,0,Maximum Security
Mental Health - Number of Offenders on Continuous Watch Status,Stateville,2020-07-01,2,Maximum Security
Mental Health - Number of Offenders on Continuous Watch Status,Stateville,2020-08-01,5,Maximum Security
Mental Health - Number of Offenders on Continuous Watch Status,Stateville,2020-09-01,1,Maximum Security
Mental Health - Number of Offenders on Continuous Watch Status,Stateville,2020-10-01,5,Maximum Security
Mental Health - Number of Offenders on Continuous Watch Status,Stateville,2020-11-01,4,Maximum Security
Mental Health - Number of Offenders on Continuous Watch Status,Stateville,2020-12-01,5,Maximum Security
Mental Health - Number of Offenders on Continuous Watch Status,Stateville,2021-01-01,4,Maximum Security
Mental Health - Number of Offenders on Continuous Watch Status,Stateville,2021-02-01,4,Maximum Security
Mental Health - Number of Offenders on Continuous Watch Status,Stateville,2021-03-01,5,Maximum Security
Mental Health - Number of Offenders on Continuous Watch Status,Stateville,2021-04-01,4,Maximum Security
Mental Health - Number of Offenders on Continuous Watch Status,Stateville,2021-05-01,9,Maximum Security
Mental Health - Number of Offenders on Continuous Watch Status,Stateville,2021-06-01,4,Maximum Security
Mental Health - Number of Offenders on Continuous Watch Status,Big Muddy River,2020-07-01,1,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Big Muddy River,2020-08-01,4,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Big Muddy River,2020-09-01,1,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Big Muddy River,2020-10-01,0,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Big Muddy River,2020-11-01,0,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Big Muddy River,2020-12-01,0,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Big Muddy River,2021-01-01,0,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Big Muddy River,2021-02-01,0,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Big Muddy River,2021-03-01,0,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Big Muddy River,2021-04-01,1,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Big Muddy River,2021-05-01,0,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Big Muddy River,2021-06-01,0,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Centralia,2020-07-01,0,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Centralia,2020-08-01,2,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Centralia,2020-09-01,0,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Centralia,2020-10-01,2,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Centralia,2020-11-01,2,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Centralia,2020-12-01,2,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Centralia,2021-01-01,2,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Centralia,2021-02-01,1,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Centralia,2021-03-01,0,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Centralia,2021-04-01,0,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Centralia,2021-05-01,0,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Centralia,2021-06-01,0,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Danville,2020-07-01,0,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Danville,2020-08-01,0,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Danville,2020-09-01,0,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Danville,2020-10-01,0,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Danville,2020-11-01,0,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Danville,2020-12-01,0,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Danville,2021-01-01,0,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Danville,2021-02-01,0,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Danville,2021-03-01,0,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Danville,2021-04-01,2,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Danville,2021-05-01,0,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Danville,2021-06-01,0,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Dixon,2020-07-01,13,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Dixon,2020-08-01,12,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Dixon,2020-09-01,9,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Dixon,2020-10-01,2,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Dixon,2020-11-01,13,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Dixon,2020-12-01,12,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Dixon,2021-01-01,10,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Dixon,2021-02-01,7,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Dixon,2021-03-01,12,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Dixon,2021-04-01,10,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Dixon,2021-05-01,6,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Dixon,2021-06-01,15,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Graham,2020-07-01,3,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Graham,2020-08-01,2,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Graham,2020-09-01,1,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Graham,2020-10-01,4,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Graham,2020-11-01,0,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Graham,2020-12-01,2,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Graham,2021-01-01,1,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Graham,2021-02-01,0,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Graham,2021-03-01,1,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Graham,2021-04-01,1,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Graham,2021-05-01,0,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Graham,2021-06-01,1,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Hill,2020-07-01,0,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Hill,2020-08-01,1,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Hill,2020-09-01,2,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Hill,2020-10-01,2,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Hill,2020-11-01,1,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Hill,2020-12-01,4,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Hill,2021-01-01,0,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Hill,2021-02-01,0,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Hill,2021-03-01,5,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Hill,2021-04-01,3,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Hill,2021-05-01,4,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Hill,2021-06-01,4,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Illinois River,2020-07-01,2,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Illinois River,2020-08-01,4,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Illinois River,2020-09-01,1,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Illinois River,2020-10-01,2,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Illinois River,2020-11-01,5,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Illinois River,2020-12-01,4,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Illinois River,2021-01-01,1,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Illinois River,2021-02-01,2,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Illinois River,2021-03-01,0,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Illinois River,2021-04-01,1,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Illinois River,2021-05-01,1,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Illinois River,2021-06-01,0,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Lawrence,2020-07-01,3,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Lawrence,2020-08-01,0,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Lawrence,2020-09-01,3,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Lawrence,2020-10-01,3,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Lawrence,2020-11-01,1,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Lawrence,2020-12-01,3,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Lawrence,2021-01-01,2,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Lawrence,2021-02-01,0,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Lawrence,2021-03-01,1,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Lawrence,2021-04-01,3,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Lawrence,2021-05-01,3,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Lawrence,2021-06-01,1,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Pinckneyville,2020-07-01,1,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Pinckneyville,2020-08-01,1,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Pinckneyville,2020-09-01,0,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Pinckneyville,2020-10-01,0,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Pinckneyville,2020-11-01,0,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Pinckneyville,2020-12-01,0,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Pinckneyville,2021-01-01,0,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Pinckneyville,2021-02-01,0,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Pinckneyville,2021-03-01,0,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Pinckneyville,2021-04-01,0,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Pinckneyville,2021-05-01,0,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Pinckneyville,2021-06-01,1,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Shawnee,2020-07-01,0,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Shawnee,2020-08-01,0,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Shawnee,2020-09-01,0,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Shawnee,2020-10-01,0,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Shawnee,2020-11-01,0,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Shawnee,2020-12-01,0,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Shawnee,2021-01-01,0,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Shawnee,2021-02-01,1,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Shawnee,2021-03-01,0,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Shawnee,2021-04-01,0,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Shawnee,2021-05-01,0,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Shawnee,2021-06-01,0,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Sheridan,2020-07-01,0,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Sheridan,2020-08-01,1,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Sheridan,2020-09-01,1,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Sheridan,2020-10-01,0,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Sheridan,2020-11-01,0,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Sheridan,2020-12-01,1,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Sheridan,2021-01-01,0,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Sheridan,2021-02-01,1,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Sheridan,2021-03-01,0,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Sheridan,2021-04-01,0,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Sheridan,2021-05-01,0,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Sheridan,2021-06-01,0,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Western Illinois,2020-07-01,0,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Western Illinois,2020-08-01,1,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Western Illinois,2020-09-01,1,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Western Illinois,2020-10-01,1,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Western Illinois,2020-11-01,1,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Western Illinois,2020-12-01,1,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Western Illinois,2021-01-01,1,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Western Illinois,2021-02-01,0,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Western Illinois,2021-03-01,1,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Western Illinois,2021-04-01,3,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Western Illinois,2021-05-01,0,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Western Illinois,2021-06-01,1,Medium Security
Mental Health - Number of Offenders on Continuous Watch Status,Decatur (Female),2020-07-01,1,Minimum Security
Mental Health - Number of Offenders on Continuous Watch Status,Decatur (Female),2020-08-01,0,Minimum Security
Mental Health - Number of Offenders on Continuous Watch Status,Decatur (Female),2020-09-01,0,Minimum Security
Mental Health - Number of Offenders on Continuous Watch Status,Decatur (Female),2020-10-01,0,Minimum Security
Mental Health - Number of Offenders on Continuous Watch Status,Decatur (Female),2020-11-01,0,Minimum Security
Mental Health - Number of Offenders on Continuous Watch Status,Decatur (Female),2020-12-01,0,Minimum Security
Mental Health - Number of Offenders on Continuous Watch Status,Decatur (Female),2021-01-01,0,Minimum Security
Mental Health - Number of Offenders on Continuous Watch Status,Decatur (Female),2021-02-01,0,Minimum Security
Mental Health - Number of Offenders on Continuous Watch Status,Decatur (Female),2021-03-01,0,Minimum Security
Mental Health - Number of Offenders on Continuous Watch Status,Decatur (Female),2021-04-01,0,Minimum Security
Mental Health - Number of Offenders on Continuous Watch Status,Decatur (Female),2021-05-01,0,Minimum Security
Mental Health - Number of Offenders on Continuous Watch Status,Decatur (Female),2021-06-01,0,Minimum Security
Mental Health - Number of Offenders on Continuous Watch Status,East Moline,2020-07-01,1,Minimum Security
Mental Health - Number of Offenders on Continuous Watch Status,East Moline,2020-08-01,1,Minimum Security
Mental Health - Number of Offenders on Continuous Watch Status,East Moline,2020-09-01,0,Minimum Security
Mental Health - Number of Offenders on Continuous Watch Status,East Moline,2020-10-01,0,Minimum Security
Mental Health - Number of Offenders on Continuous Watch Status,East Moline,2020-11-01,2,Minimum Security
Mental Health - Number of Offenders on Continuous Watch Status,East Moline,2020-12-01,1,Minimum Security
Mental Health - Number of Offenders on Continuous Watch Status,East Moline,2021-01-01,1,Minimum Security
Mental Health - Number of Offenders on Continuous Watch Status,East Moline,2021-02-01,1,Minimum Security
Mental Health - Number of Offenders on Continuous Watch Status,East Moline,2021-03-01,0,Minimum Security
Mental Health - Number of Offenders on Continuous Watch Status,East Moline,2021-04-01,0,Minimum Security
Mental Health - Number of Offenders on Continuous Watch Status,East Moline,2021-05-01,1,Minimum Security
Mental Health - Number of Offenders on Continuous Watch Status,East Moline,2021-06-01,1,Minimum Security
Mental Health - Number of Offenders on Continuous Watch Status,Elgin,2020-07-01,4,Minimum Security
Mental Health - Number of Offenders on Continuous Watch Status,Elgin,2020-08-01,7,Minimum Security
Mental Health - Number of Offenders on Continuous Watch Status,Elgin,2020-09-01,4,Minimum Security
Mental Health - Number of Offenders on Continuous Watch Status,Elgin,2020-10-01,3,Minimum Security
Mental Health - Number of Offenders on Continuous Watch Status,Elgin,2020-11-01,1,Minimum Security
Mental Health - Number of Offenders on Continuous Watch Status,Elgin,2020-12-01,4,Minimum Security
Mental Health - Number of Offenders on Continuous Watch Status,Elgin,2021-01-01,2,Minimum Security
Mental Health - Number of Offenders on Continuous Watch Status,Elgin,2021-02-01,1,Minimum Security
Mental Health - Number of Offenders on Continuous Watch Status,Elgin,2021-03-01,3,Minimum Security
Mental Health - Number of Offenders on Continuous Watch Status,Elgin,2021-04-01,0,Minimum Security
Mental Health - Number of Offenders on Continuous Watch Status,Elgin,2021-05-01,0,Minimum Security
Mental Health - Number of Offenders on Continuous Watch Status,Elgin,2021-06-01,1,Minimum Security
Mental Health - Number of Offenders on Continuous Watch Status,Jacksonville,2020-07-01,1,Minimum Security
Mental Health - Number of Offenders on Continuous Watch Status,Jacksonville,2020-08-01,1,Minimum Security
Mental Health - Number of Offenders on Continuous Watch Status,Jacksonville,2020-09-01,0,Minimum Security
Mental Health - Number of Offenders on Continuous Watch Status,Jacksonville,2020-10-01,1,Minimum Security
Mental Health - Number of Offenders on Continuous Watch Status,Jacksonville,2020-11-01,0,Minimum Security
Mental Health - Number of Offenders on Continuous Watch Status,Jacksonville,2020-12-01,0,Minimum Security
Mental Health - Number of Offenders on Continuous Watch Status,Jacksonville,2021-01-01,0,Minimum Security
Mental Health - Number of Offenders on Continuous Watch Status,Jacksonville,2021-02-01,0,Minimum Security
Mental Health - Number of Offenders on Continuous Watch Status,Jacksonville,2021-03-01,0,Minimum Security
Mental Health - Number of Offenders on Continuous Watch Status,Jacksonville,2021-04-01,0,Minimum Security
Mental Health - Number of Offenders on Continuous Watch Status,Jacksonville,2021-05-01,0,Minimum Security
Mental Health - Number of Offenders on Continuous Watch Status,Jacksonville,2021-06-01,0,Minimum Security
Mental Health - Number of Offenders on Continuous Watch Status,Kewanee,2020-07-01,0,Minimum Security
Mental Health - Number of Offenders on Continuous Watch Status,Kewanee,2020-08-01,0,Minimum Security
Mental Health - Number of Offenders on Continuous Watch Status,Kewanee,2020-09-01,0,Minimum Security
Mental Health - Number of Offenders on Continuous Watch Status,Kewanee,2020-10-01,0,Minimum Security
